Year,x,q(x),l(x),d(x),L(x),T(x),e(x),D(x),M(x),A(x),N(x),a(x),12a(x)
2021,38,0.003316,94551,313,94394,3621470,38.30,39847,17358,0.4356,1000232,25.1021,295.72
2021,39,0.003422,94237,322,94076,3527076,37.43,38822,17229,0.4438,960385,24.7385,291.36
2021,40,0.003522,93915,331,93749,3433000,36.55,37819,17099,0.4521,921564,24.3678,286.91
2021,41,0.003617,93584,338,93415,3339250,35.68,36838,16969,0.4606,883745,23.9898,282.38
2021,42,0.003728,93246,348,93072,3245836,34.81,35880,16839,0.4693,846906,23.6039,277.75
2021,43,0.003880,92898,360,92718,3152764,33.94,34942,16708,0.4782,811026,23.2103,273.02
2021,44,0.004092,92537,379,92348,3060046,33.07,34024,16576,0.4872,776084,22.8097,268.22
2021,45,0.004361,92159,402,91958,2967698,32.20,33123,16440,0.4963,742060,22.4030,263.34
2021,46,0.004672,91757,429,91542,2875740,31.34,32237,16298,0.5056,708936,21.9912,258.39
2021,47,0.005016,91328,458,91099,2784198,30.49,31365,16151,0.5149,676699,21.5747,253.40
2021,48,0.005406,90870,491,90624,2693099,29.64,30506,15997,0.5244,645334,21.1541,248.35
2021,49,0.005862,90379,530,90114,2602474,28.80,29659,15836,0.5339,614827,20.7297,243.26
2021,50,0.006393,89849,574,89562,2512360,27.96,28822,15666,0.5435,585168,20.3025,238.13
2021,51,0.006998,89275,625,88962,2422799,27.14,27994,15486,0.5532,556346,19.8735,232.98
2021,52,0.007674,88650,680,88310,2333836,26.33,27173,15295,0.5629,528351,19.4436,227.82
2021,53,0.008427,87970,741,87599,2245527,25.53,26359,15091,0.5725,501178,19.0138,222.67
2021,54,0.009261,87228,808,86824,2157928,24.74,25549,14874,0.5822,474819,18.5847,217.52
2021,55,0.010158,86420,878,85982,2071103,23.97,24743,14642,0.5918,449270,18.1573,212.39
2021,56,0.011090,85543,949,85068,1985122,23.21,23941,14397,0.6013,424527,17.7320,207.28
2021,57,0.012050,84594,1019,84084,1900054,22.46,23143,14137,0.6108,400586,17.3088,202.21
2021,58,0.013047,83575,1090,83029,1815969,21.73,22351,13865,0.6203,377442,16.8874,197.15
2021,59,0.014117,82484,1164,81902,1732940,21.01,21563,13579,0.6298,355092,16.4677,192.11
2021,60,0.015281,81320,1243,80698,1651038,20.30,20781,13282,0.6391,333529,16.0500,187.10
2021,61,0.016523,80077,1323,79416,1570340,19.61,20003,12971,0.6485,312748,15.6351,182.12
2021,62,0.017784,78754,1401,78054,1490924,18.93,19230,12648,0.6577,292745,15.2232,177.18
